City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Fredericksburg,US,74.21,drizzle,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
447,Mayo,US,73.35,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
449,Chipinge,ZW,50.49,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
450,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
451,Dulce Nombre De Culmi,HN,69.98,overcast clouds,15.1,-85.5333,Hotel Zuniama
452,Nantucket,US,75.99,clear sky,41.2835,-70.0995,Jared Coffin House
453,Irara,BR,66.43,clear sky,-12.05,-38.7667,Hotel Avenida
456,Balkhash,KZ,65.01,clear sky,46.844,74.9804,Family
458,Zhigansk,RU,71.82,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
461,Ambovombe,MG,65.1,few clouds,-25.1667,46.0833,RELAHARA
464,Yamada,JP,77.58,light rain,39.4667,141.95,Iroha-ya Inn
468,Paita,PE,62.91,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
469,Diamantino,BR,72.25,clear sky,-14.4086,-56.4461,Hotel Delta
472,Waipawa,NZ,51.44,clear sky,-41.4122,175.5153,Tora Coastal Walk
473,Jiuquan,CN,75.24,broken clouds,39.7432,98.5174,Jiuquan Hotel
474,Jorochito,BO,67.35,clear sky,-18.05,-63.4333,Tom´s Hauss
475,Emerald,AU,67.33,overcast clouds,-23.5333,148.1667,The Irish Village
476,Kars,TR,56.93,clear sky,40.602,43.095,Kars Otel
477,Chicama,PE,59.54,few clouds,-7.8447,-79.1469,Balihai Bungalows
479,Ayan,RU,57.11,overcast clouds,56.45,138.1667,Gostinitsa
480,Mabaruma,GY,74.7,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
481,Esso,RU,59.07,light rain,55.9333,158.7,Paramushir Tur
482,Betioky,MG,66.56,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
483,Trelew,AR,45.88,overcast clouds,-43.249,-65.3051,Hotel Touring Club
484,Navirai,BR,66.52,broken clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
485,Salme,NP,64.69,overcast clouds,28.0369,85.0942,Shyam b tamang
486,Cherepovets,RU,54.18,overcast clouds,59.1333,37.9,"Hotel ""Visit"""
488,Maldonado,UY,50.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
489,Bomet,KE,55.11,overcast clouds,-0.7813,35.3416,Mosop Annex club
490,Matadi,CD,68.7,broken clouds,-5.8167,13.45,Hotel Vivi Palace
491,Marsabit,KE,60.98,broken clouds,2.3284,37.9899,Chicho Hotel
492,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
494,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
495,Guadalajara,MX,67.77,broken clouds,20.6667,-103.3333,Hotel Aranzazú
